"TableVariableCode21","CategoryCode21","VariableName21","Denominator21","TS_code","TableName21","TableCode21","Domain21","TableCode11","nested"
"NM_2041_1_1004",1004,"White","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",1
"NM_2041_1_1",1,"White: English, Welsh, Scottish, Northern Irish or British","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_2",2,"White: Irish","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_3",3,"White: Gypsy or Irish Traveller","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_4",4,"White: Roma","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_5",5,"White: Other White","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_1005",1005,"Other ethnic group","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",1
"NM_2041_1_18",18,"Other ethnic group: Arab","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2041_1_19",19,"Other ethnic group: Any other ethnic group","All usual residents","TS021","Ethnic group","NM_2041_1","Ethnicity, Identity, Language and Religion","NM_1504_1",2
"NM_2042_1_0",0,"Total: All households","All households","TS023","Multiple ethnic group","NM_2042_1","Ethnicity, Identity, Language and Religion","NM_1543_1",0
"NM_2042_1_1",1,"One-person household","All households","TS023","Multiple ethnic group","NM_2042_1","Ethnicity, Identity, Language and Religion","NM_1543_1",1
"NM_2042_1_2",2,"All household members have the same ethnic group","All households","TS023","Multiple ethnic group","NM_2042_1","Ethnicity, Identity, Language and Religion","NM_1543_1",1
"NM_2042_1_3",3,"Ethnic groups differ between generations but not within partnerships","All households","TS023","Multiple ethnic group","NM_2042_1","Ethnicity, Identity, Language and Religion","NM_1543_1",1
"NM_2042_1_4",4,"Ethnic groups differ within partnerships","All households","TS023","Multiple ethnic group","NM_2042_1","Ethnicity, Identity, Language and Religion","NM_1543_1",1
"NM_2042_1_5",5,"Any other combination of multiple ethnic identities","All households","TS023","Multiple ethnic group","NM_2042_1","Ethnicity, Identity, Language and Religion","NM_1543_1",1
"NM_2044_1_0",0,"Total: All households","All households","TS025","Household language","NM_2044_1","Ethnicity, Identity, Language and Religion","NM_613_1",0
"NM_2044_1_1",1,"All adults in household have English in England, or English or Welsh in Wales as a main language","All households","TS025","Household language","NM_2044_1","Ethnicity, Identity, Language and Religion","NM_613_1",1
"NM_2044_1_2",2,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","All households","TS025","Household language","NM_2044_1","Ethnicity, Identity, Language and Religion","NM_613_1",1
"NM_2044_1_3",3,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","All households","TS025","Household language","NM_2044_1","Ethnicity, Identity, Language and Religion","NM_613_1",1
"NM_2044_1_4",4,"No people in household have English in England, or English or Welsh in Wales as a main language","All households","TS025","Household language","NM_2044_1","Ethnicity, Identity, Language and Religion","NM_613_1",1
"NM_2046_1_0",0,"Total: All usual residents","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",0
"NM_2046_1_1",1,"British only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_2",2,"English only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_3",3,"English and British only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_4",4,"Welsh only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_5",5,"Welsh and British only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_9995",9995,"Any other combination of only UK identities","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",NA
"NM_2046_1_6",6,"Scottish only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_7",7,"Scottish and British only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_8",8,"Northern Irish only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_9",9,"Northern Irish and British only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_10",10,"Cornish only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_11",11,"Cornish and British only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_12",12,"Any other combination of only UK identities","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_13",13,"Irish only identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_14",14,"Irish and at least one UK identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_15",15,"Other identity only","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_16",16,"Other identity and at least one UK identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",1
"NM_2046_1_9996",9996,"Non-UK identity only","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",NA
"NM_2046_1_9997",9997,"UK identity and non-UK identity","All usual residents","TS027","National identity - UK","NM_2046_1","Ethnicity, Identity, Language and Religion","NM_609_1",NA
"NM_2048_1_0",0,"Total: All usual residents aged 3 years and over","All usual residents aged 3 years and over","TS029","Proficiency in English","NM_2048_1","Ethnicity, Identity, Language and Religion","NM_526_1",0
"NM_2048_1_1",1,"Main language is English (English or Welsh in Wales)","All usual residents aged 3 years and over","TS029","Proficiency in English","NM_2048_1","Ethnicity, Identity, Language and Religion","NM_526_1",1
"NM_2048_1_1001",1001,"Main language is not English (English or Welsh in Wales)","All usual residents aged 3 years and over","TS029","Proficiency in English","NM_2048_1","Ethnicity, Identity, Language and Religion","NM_526_1",1
"NM_2048_1_2",2,"Main language is not English (English or Welsh in Wales): Can speak English very well","All usual residents aged 3 years and over","TS029","Proficiency in English","NM_2048_1","Ethnicity, Identity, Language and Religion","NM_526_1",2
"NM_2048_1_3",3,"Main language is not English (English or Welsh in Wales): Can speak English well","All usual residents aged 3 years and over","TS029","Proficiency in English","NM_2048_1","Ethnicity, Identity, Language and Religion","NM_526_1",2
"NM_2048_1_4",4,"Main language is not English (English or Welsh in Wales): Cannot speak English well","All usual residents aged 3 years and over","TS029","Proficiency in English","NM_2048_1","Ethnicity, Identity, Language and Religion","NM_526_1",2
"NM_2048_1_5",5,"Main language is not English (English or Welsh in Wales): Cannot speak English","All usual residents aged 3 years and over","TS029","Proficiency in English","NM_2048_1","Ethnicity, Identity, Language and Religion","NM_526_1",2
"NM_2049_1_0",0,"Total: All usual residents","All usual residents","TS030","Religion","NM_2049_1","Ethnicity, Identity, Language and Religion","NM_616_1",0
"NM_2049_1_1",1,"No religion","All usual residents","TS030","Religion","NM_2049_1","Ethnicity, Identity, Language and Religion","NM_616_1",1
"NM_2049_1_2",2,"Christian","All usual residents","TS030","Religion","NM_2049_1","Ethnicity, Identity, Language and Religion","NM_616_1",1
"NM_2049_1_3",3,"Buddhist","All usual residents","TS030","Religion","NM_2049_1","Ethnicity, Identity, Language and Religion","NM_616_1",1
"NM_2049_1_4",4,"Hindu","All usual residents","TS030","Religion","NM_2049_1","Ethnicity, Identity, Language and Religion","NM_616_1",1
"NM_2049_1_5",5,"Jewish","All usual residents","TS030","Religion","NM_2049_1","Ethnicity, Identity, Language and Religion","NM_616_1",1
"NM_2049_1_6",6,"Muslim","All usual residents","TS030","Religion","NM_2049_1","Ethnicity, Identity, Language and Religion","NM_616_1",1
"NM_2049_1_7",7,"Sikh","All usual residents","TS030","Religion","NM_2049_1","Ethnicity, Identity, Language and Religion","NM_616_1",1
"NM_2049_1_8",8,"Other religion","All usual residents","TS030","Religion","NM_2049_1","Ethnicity, Identity, Language and Religion","NM_616_1",1
"NM_2049_1_9",9,"Not answered","All usual residents","TS030","Religion","NM_2049_1","Ethnicity, Identity, Language and Religion","NM_616_1",1
"NM_2055_1_0",0,"Total: All usual residents","All usual residents","TS037","General health","NM_2055_1","Health, Disability and Unpaid Care","NM_1546_1",0
"NM_2055_1_1",1,"Very good health","All usual residents","TS037","General health","NM_2055_1","Health, Disability and Unpaid Care","NM_1546_1",1
"NM_2055_1_2",2,"Good health","All usual residents","TS037","General health","NM_2055_1","Health, Disability and Unpaid Care","NM_1546_1",1
"NM_2055_1_3",3,"Fair health","All usual residents","TS037","General health","NM_2055_1","Health, Disability and Unpaid Care","NM_1546_1",1
"NM_2055_1_4",4,"Bad health","All usual residents","TS037","General health","NM_2055_1","Health, Disability and Unpaid Care","NM_1546_1",1
"NM_2055_1_5",5,"Very bad health","All usual residents","TS037","General health","NM_2055_1","Health, Disability and Unpaid Care","NM_1546_1",1
"NM_2056_1_0",0,"Total: All usual residents","All usual residents","TS038","Disability","NM_2056_1","Health, Disability and Unpaid Care","NM_1547_1",0
"NM_2056_1_1001",1001,"Disabled under the Equality Act","All usual residents","TS038","Disability","NM_2056_1","Health, Disability and Unpaid Care","NM_1547_1",1
"NM_2056_1_1",1,"Disabled under the Equality Act: Day-to-day activities limited a lot","All usual residents","TS038","Disability","NM_2056_1","Health, Disability and Unpaid Care","NM_1547_1",2
"NM_2056_1_2",2,"Disabled under the Equality Act: Day-to-day activities limited a little","All usual residents","TS038","Disability","NM_2056_1","Health, Disability and Unpaid Care","NM_1547_1",2
"NM_2056_1_1002",1002,"Not disabled under the Equality Act","All usual residents","TS038","Disability","NM_2056_1","Health, Disability and Unpaid Care","NM_1547_1",1
"NM_2056_1_3",3,"Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited","All usual residents","TS038","Disability","NM_2056_1","Health, Disability and Unpaid Care","NM_1547_1",2
"NM_2056_1_4",4,"Not disabled under the Equality Act: No long term physical or mental health conditions","All usual residents","TS038","Disability","NM_2056_1","Health, Disability and Unpaid Care","NM_1547_1",2
"NM_2057_1_0",0,"Total: All usual residents aged 5 and over","All usual residents","TS039","Provision of unpaid care","NM_2057_1","Health, Disability and Unpaid Care","NM_1545_1",0
"NM_2057_1_1",1,"Provides no unpaid care","All usual residents","TS039","Provision of unpaid care","NM_2057_1","Health, Disability and Unpaid Care","NM_1545_1",1
"NM_2057_1_101",101,"Provides 19 hours or less unpaid care a week","All usual residents","TS039","Provision of unpaid care","NM_2057_1","Health, Disability and Unpaid Care","NM_1545_1",1
"NM_2057_1_2",2,"Provides 9 hours or less unpaid care a week","All usual residents","TS039","Provision of unpaid care","NM_2057_1","Health, Disability and Unpaid Care","NM_1545_1",1
"NM_2057_1_3",3,"Provides 10 to 19 hours unpaid care a week","All usual residents","TS039","Provision of unpaid care","NM_2057_1","Health, Disability and Unpaid Care","NM_1545_1",1
"NM_2057_1_102",102,"Provides 20 to 49 hours unpaid care a week","All usual residents","TS039","Provision of unpaid care","NM_2057_1","Health, Disability and Unpaid Care","NM_1545_1",1
"NM_2057_1_4",4,"Provides 20 to 34 hours unpaid care a week","All usual residents","TS039","Provision of unpaid care","NM_2057_1","Health, Disability and Unpaid Care","NM_1545_1",1
"NM_2057_1_5",5,"Provides 35 to 49 hours unpaid care a week","All usual residents","TS039","Provision of unpaid care","NM_2057_1","Health, Disability and Unpaid Care","NM_1545_1",1
"NM_2057_1_6",6,"Provides 50 or more hours unpaid care a week","All usual residents","TS039","Provision of unpaid care","NM_2057_1","Health, Disability and Unpaid Care","NM_1545_1",1
"NM_2059_1_0",0,"Number of households","All households","TS041","Number of households","NM_2059_1","Demography and Migration","NM_513_1",0
"NM_2062_1_0",0,"Total: All households","All households","TS044","Accommodation type","NM_2062_1","Housing","NM_1549_1",0
"NM_2062_1_1",1,"Detached","All households","TS044","Accommodation type","NM_2062_1","Housing","NM_1549_1",1
"NM_2062_1_2",2,"Semi-detached","All households","TS044","Accommodation type","NM_2062_1","Housing","NM_1549_1",1
"NM_2062_1_3",3,"Terraced","All households","TS044","Accommodation type","NM_2062_1","Housing","NM_1549_1",1
"NM_2062_1_4",4,"In a purpose-built block of flats or tenement","All households","TS044","Accommodation type","NM_2062_1","Housing","NM_1549_1",1
"NM_2062_1_5",5,"Part of a converted or shared house, including bedsits","All households","TS044","Accommodation type","NM_2062_1","Housing","NM_1549_1",1
"NM_2062_1_6",6,"Part of another converted building, for example, former school, church or warehouse","All households","TS044","Accommodation type","NM_2062_1","Housing","NM_1549_1",1
"NM_2062_1_7",7,"In a commercial building, for example, in an office building, hotel or over a shop","All households","TS044","Accommodation type","NM_2062_1","Housing","NM_1549_1",1
"NM_2062_1_8",8,"A caravan or other mobile or temporary structure","All households","TS044","Accommodation type","NM_2062_1","Housing","NM_1549_1",1
"NM_2063_1_0",0,"Total: All households","All households","TS045","Car or van availability","NM_2063_1","Housing","NM_1508_1",0
"NM_2063_1_1",1,"No cars or vans in household","All households","TS045","Car or van availability","NM_2063_1","Housing","NM_1508_1",1
"NM_2063_1_2",2,"1 car or van in household","All households","TS045","Car or van availability","NM_2063_1","Housing","NM_1508_1",1
"NM_2063_1_3",3,"2 cars or vans in household","All households","TS045","Car or van availability","NM_2063_1","Housing","NM_1508_1",1
"NM_2063_1_4",4,"3 or more cars or vans in household","All households","TS045","Car or van availability","NM_2063_1","Housing","NM_1508_1",1
"NM_2064_1_0",0,"Total: All households","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",0
"NM_2064_1_1",1,"No central heating","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2064_1_2",2,"Mains gas only","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2064_1_3",3,"Tank or bottled gas only","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2064_1_4",4,"Electric only","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2064_1_5",5,"Oil only","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2064_1_6",6,"Wood only","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2064_1_7",7,"Solid fuel only","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2064_1_8",8,"Renewable energy only","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2064_1_9",9,"District or communal heat networks only","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2064_1_10",10,"Other central heating only","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2064_1_11",11,"Two or more types of central heating (not including renewable energy)","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2064_1_12",12,"Two or more types of central heating (including renewable energy)","All households","TS046","Central heating","NM_2064_1","Housing","NM_1558_1",1
"NM_2068_1_0",0,"Total: All households","All households","TS050","Number of bedrooms","NM_2068_1","Housing","NM_543_1",0
"NM_2068_1_1",1,"1 bedroom","All households","TS050","Number of bedrooms","NM_2068_1","Housing","NM_543_1",1
"NM_2068_1_2",2,"2 bedrooms","All households","TS050","Number of bedrooms","NM_2068_1","Housing","NM_543_1",1
"NM_2068_1_3",3,"3 bedrooms","All households","TS050","Number of bedrooms","NM_2068_1","Housing","NM_543_1",1
"NM_2068_1_4",4,"4 or more bedrooms","All households","TS050","Number of bedrooms","NM_2068_1","Housing","NM_543_1",1
"NM_2069_1_0",0,"Total: All households","All households","TS051","Number of rooms","NM_2069_1","Housing","NM_1554_1",0
"NM_2069_1_1",1,"1 room","All households","TS051","Number of rooms","NM_2069_1","Housing","NM_1554_1",1
"NM_2069_1_2",2,"2 rooms","All households","TS051","Number of rooms","NM_2069_1","Housing","NM_1554_1",1
"NM_2069_1_3",3,"3 rooms","All households","TS051","Number of rooms","NM_2069_1","Housing","NM_1554_1",1
"NM_2069_1_4",4,"4 rooms","All households","TS051","Number of rooms","NM_2069_1","Housing","NM_1554_1",1
"NM_2069_1_5",5,"5 rooms","All households","TS051","Number of rooms","NM_2069_1","Housing","NM_1554_1",1
"NM_2069_1_6",6,"6 rooms","All households","TS051","Number of rooms","NM_2069_1","Housing","NM_1554_1",1
"NM_2069_1_7",7,"7 rooms","All households","TS051","Number of rooms","NM_2069_1","Housing","NM_1554_1",1
"NM_2069_1_8",8,"8 rooms","All households","TS051","Number of rooms","NM_2069_1","Housing","NM_1554_1",1
"NM_2069_1_9",9,"9 or more rooms","All households","TS051","Number of rooms","NM_2069_1","Housing","NM_1554_1",1
"NM_2070_1_0",0,"Total: All households","All households","TS052","Occupancy rating for bedrooms","NM_2070_1","Housing","NM_544_1",0
"NM_2070_1_1",1,"Occupancy rating of bedrooms: +2 or more","All households","TS052","Occupancy rating for bedrooms","NM_2070_1","Housing","NM_544_1",2
"NM_2070_1_2",2,"Occupancy rating of bedrooms: +1","All households","TS052","Occupancy rating for bedrooms","NM_2070_1","Housing","NM_544_1",2
"NM_2070_1_3",3,"Occupancy rating of bedrooms: 0","All households","TS052","Occupancy rating for bedrooms","NM_2070_1","Housing","NM_544_1",2
"NM_2070_1_4",4,"Occupancy rating of bedrooms: -1","All households","TS052","Occupancy rating for bedrooms","NM_2070_1","Housing","NM_544_1",2
"NM_2070_1_5",5,"Occupancy rating of bedrooms: -2 or less","All households","TS052","Occupancy rating for bedrooms","NM_2070_1","Housing","NM_544_1",2
"NM_2071_1_0",0,"Total: All households","All households","TS053","Occupancy rating for rooms","NM_2071_1","Housing","NM_1555_1",0
"NM_2071_1_1",1,"Occupancy rating of rooms: +2 or more","All households","TS053","Occupancy rating for rooms","NM_2071_1","Housing","NM_1555_1",2
"NM_2071_1_2",2,"Occupancy rating of rooms: +1","All households","TS053","Occupancy rating for rooms","NM_2071_1","Housing","NM_1555_1",2
"NM_2071_1_3",3,"Occupancy rating of rooms: 0","All households","TS053","Occupancy rating for rooms","NM_2071_1","Housing","NM_1555_1",2
"NM_2071_1_4",4,"Occupancy rating of rooms: -1","All households","TS053","Occupancy rating for rooms","NM_2071_1","Housing","NM_1555_1",2
"NM_2071_1_5",5,"Occupancy rating of rooms: -2 or less","All households","TS053","Occupancy rating for rooms","NM_2071_1","Housing","NM_1555_1",2
"NM_2072_1_0",0,"Total: All households","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",0
"NM_2072_1_1001",1001,"Owned","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",1
"NM_2072_1_1",1,"Owned: Owns outright","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",2
"NM_2072_1_2",2,"Owned: Owns with a mortgage or loan","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",2
"NM_2072_1_1002",1002,"Shared ownership","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",1
"NM_2072_1_3",3,"Shared ownership: Shared ownership","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",2
"NM_2072_1_1003",1003,"Social rented","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",1
"NM_2072_1_4",4,"Social rented: Rents from council or Local Authority","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",2
"NM_2072_1_5",5,"Social rented: Other social rented","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",2
"NM_2072_1_1004",1004,"Private rented","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",1
"NM_2072_1_6",6,"Private rented: Private landlord or letting agency","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",2
"NM_2072_1_7",7,"Private rented: Other private rented","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",2
"NM_2072_1_8",8,"Lives rent free","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",1
"NM_2072_1_9996",9996,"Owns with a mortgage or loan or shared ownership","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",NA
"NM_2072_1_9997",9997,"Private rented or lives rent free","All households","TS054","Tenure","NM_2072_1","Housing","NM_1552_1",NA
"NM_2074_1_0",0,"Total: All usual residents","All usual residents","TS056","Second address indicator","NM_2074_1","Housing","NM_506_1",0
"NM_2074_1_1",1,"No second address","All usual residents","TS056","Second address indicator","NM_2074_1","Housing","NM_506_1",1
"NM_2074_1_2",2,"Second address is in the UK","All usual residents","TS056","Second address indicator","NM_2074_1","Housing","NM_506_1",1
"NM_2074_1_3",3,"Second address is outside the UK","All usual residents","TS056","Second address indicator","NM_2074_1","Housing","NM_506_1",1
"NM_2075_1_0",0,"Total: All usual residents aged 16 years and over in employment the week before the census","All usual residents aged 16 years and over in employment the week before the census","TS058","Distance travelled to work","NM_2075_1","Travel to Work","NM_153_1",0
"NM_2075_1_1",1,"Less than 2km","All usual residents aged 16 years and over in employment the week before the census","TS058","Distance travelled to work","NM_2075_1","Travel to Work","NM_153_1",1
"NM_2075_1_2",2,"2km to less than 5km","All usual residents aged 16 years and over in employment the week before the census","TS058","Distance travelled to work","NM_2075_1","Travel to Work","NM_153_1",1
"NM_2075_1_3",3,"5km to less than 10km","All usual residents aged 16 years and over in employment the week before the census","TS058","Distance travelled to work","NM_2075_1","Travel to Work","NM_153_1",1
"NM_2075_1_4",4,"10km to less than 20km","All usual residents aged 16 years and over in employment the week before the census","TS058","Distance travelled to work","NM_2075_1","Travel to Work","NM_153_1",1
"NM_2075_1_5",5,"20km to less than 30km","All usual residents aged 16 years and over in employment the week before the census","TS058","Distance travelled to work","NM_2075_1","Travel to Work","NM_153_1",1
"NM_2075_1_6",6,"30km to less than 40km","All usual residents aged 16 years and over in employment the week before the census","TS058","Distance travelled to work","NM_2075_1","Travel to Work","NM_153_1",1
"NM_2075_1_7",7,"40km to less than 60km","All usual residents aged 16 years and over in employment the week before the census","TS058","Distance travelled to work","NM_2075_1","Travel to Work","NM_153_1",1
"NM_2075_1_8",8,"60km and over","All usual residents aged 16 years and over in employment the week before the census","TS058","Distance travelled to work","NM_2075_1","Travel to Work","NM_153_1",1
"NM_2075_1_9",9,"Works mainly from home","All usual residents aged 16 years and over in employment the week before the census","TS058","Distance travelled to work","NM_2075_1","Travel to Work","NM_153_1",1
"NM_2075_1_10",10,"Works mainly at an offshore installation, in no fixed place, or outside the UK","All usual residents aged 16 years and over in employment the week before the census","TS058","Distance travelled to work","NM_2075_1","Travel to Work","NM_153_1",1
"NM_2076_1_0",0,"Total: All usual residents aged 16 years and over in employment the week before the census","All usual residents aged 16 years and over","TS059","Hours worked","NM_2076_1","Labour Market","NM_1567_1",0
"NM_2076_1_1001",1001,"Part-time","All usual residents aged 16 years and over","TS059","Hours worked","NM_2076_1","Labour Market","NM_1567_1",1
"NM_2076_1_1",1,"Part-time: 15 hours or less worked","All usual residents aged 16 years and over","TS059","Hours worked","NM_2076_1","Labour Market","NM_1567_1",2
"NM_2076_1_2",2,"Part-time: 16 to 30 hours worked","All usual residents aged 16 years and over","TS059","Hours worked","NM_2076_1","Labour Market","NM_1567_1",2
"NM_2076_1_1002",1002,"Full-time","All usual residents aged 16 years and over","TS059","Hours worked","NM_2076_1","Labour Market","NM_1567_1",1
"NM_2076_1_3",3,"Full-time: 31 to 48 hours worked","All usual residents aged 16 years and over","TS059","Hours worked","NM_2076_1","Labour Market","NM_1567_1",2
"NM_2076_1_4",4,"Full-time: 49 or more hours worked","All usual residents aged 16 years and over","TS059","Hours worked","NM_2076_1","Labour Market","NM_1567_1",2
"NM_2078_1_0",0,"Total: All usual residents aged 16 years and over in employment the week before the census","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",0
"NM_2078_1_1",1,"Work mainly at or from home","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",1
"NM_2078_1_2",2,"Underground, metro, light rail, tram","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",1
"NM_2078_1_3",3,"Train","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",1
"NM_2078_1_4",4,"Bus, minibus or coach","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",1
"NM_2078_1_5",5,"Taxi","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",1
"NM_2078_1_6",6,"Motorcycle, scooter or moped","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",1
"NM_2078_1_7",7,"Driving a car or van","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",1
"NM_2078_1_8",8,"Passenger in a car or van","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",1
"NM_2078_1_9",9,"Bicycle","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",1
"NM_2078_1_10",10,"On foot","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",1
"NM_2078_1_11",11,"Other method of travel to work","All usual residents","TS061","Method used to travel to work","NM_2078_1","Travel to Work","NM_568_1",1
"NM_2079_1_0",0,"Total: All usual residents aged 16 years and over","All usual residents aged 16 years and over","TS062","NS-SeC","NM_2079_1","Labour Market","NM_1521_1",0
"NM_2079_1_1",1,"L1, L2 and L3 Higher managerial, administrative and professional occupations","All usual residents aged 16 years and over","TS062","NS-SeC","NM_2079_1","Labour Market","NM_1521_1",1
"NM_2079_1_2",2,"L4, L5 and L6 Lower managerial, administrative and professional occupations","All usual residents aged 16 years and over","TS062","NS-SeC","NM_2079_1","Labour Market","NM_1521_1",1
"NM_2079_1_3",3,"L7 Intermediate occupations","All usual residents aged 16 years and over","TS062","NS-SeC","NM_2079_1","Labour Market","NM_1521_1",1
"NM_2079_1_4",4,"L8 and L9 Small employers and own account workers","All usual residents aged 16 years and over","TS062","NS-SeC","NM_2079_1","Labour Market","NM_1521_1",1
"NM_2079_1_5",5,"L10 and L11 Lower supervisory and technical occupations","All usual residents aged 16 years and over","TS062","NS-SeC","NM_2079_1","Labour Market","NM_1521_1",1
"NM_2079_1_6",6,"L12 Semi-routine occupations","All usual residents aged 16 years and over","TS062","NS-SeC","NM_2079_1","Labour Market","NM_1521_1",1
"NM_2079_1_7",7,"L13 Routine occupations","All usual residents aged 16 years and over","TS062","NS-SeC","NM_2079_1","Labour Market","NM_1521_1",1
"NM_2079_1_8",8,"L14.1 and L14.2 Never worked and long-term unemployed","All usual residents aged 16 years and over","TS062","NS-SeC","NM_2079_1","Labour Market","NM_1521_1",1
"NM_2079_1_9",9,"L15 Full-time students","All usual residents aged 16 years and over","TS062","NS-SeC","NM_2079_1","Labour Market","NM_1521_1",1
"NM_2080_1_0",0,"Total: All usual residents aged 16 years and over in employment the week before the census","All usual residents aged 16 years and over","TS063","Occupation","NM_2080_1","Labour Market","NM_1518_1",0
